Angle	Voltage	sV
0	0.06	0.01
0.0859	0.08	0.01
0.1717	0.11	0.01
0.2578	0.12	0.01
0.3437	0.13	0.01
0.4295	0.16	0.01
0.5154	0.16	0.01
0.6013	0.18	0.01
0.6873	0.19	0.01
0.7732	0.2	0.01
0.8591	0.2	0.01
0.9449	0.2	0.01
1.0308	0.21	0.01
1.1167	0.21	0.01
1.2027	0.21	0.01
1.2886	0.21	0.01
1.3744	0.2	0.01
1.4603	0.2	0.01
1.5462	0.17	0.01
1.6322	0.16	0.01
1.7181	0.15	0.01
1.804	0.12	0.01
1.8898	0.11	0.01
1.9757	0.09	0.01
2.0616	0.08	0.01
2.1476	0.05	0.01
2.2335	0.04	0.01
2.3194	0.02	0.01
2.4052	0.02	0.01
2.4911	0	0.01
2.5772	0	0.01
2.663	0	0.01
2.7489	0	0.01
2.8348	0.02	0.01
2.9206	0.02	0.01
3.0067	0.04	0.01
3.0925	0.04	0.01
3.1784	0.06	0.01
